INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('1', '10000', '2024-01-27 09:00:00', '2024-02-10 08:59:59', '50', '23.45', '860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('45', '10000', '2023-10-07 09:00:00', '2023-10-21 08:59:59', '50', '6.05', '3934', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('46', '10000', '2024-11-18 09:00:00', '2024-12-02 08:59:59', '50', '7.69', '2039', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('46', '10000', '2023-11-29 09:00:00', '2023-12-13 08:59:59', '50', '24.86', '2039', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('46', '10000', '2023-11-02 09:00:00', '2023-11-16 08:59:59', '50', '19.93', '2039', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('46', '10000', '2022-12-14 09:00:00', '2022-12-28 08:59:59', '50', '2.55', '2039', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('47', '10000', '2024-05-12 09:00:00', '2024-05-26 08:59:59', '50', '6.09', '5874', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('47', '10000', '2023-06-05 09:00:00', '2023-06-19 08:59:59', '50', '9.57', '5874', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('47', '10000', '2023-09-13 09:00:00', '2023-09-27 08:59:59', '50', '15.83', '5874', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('47', '10000', '2022-10-10 09:00:00', '2022-10-24 08:59:59', '50', '16.27', '5874', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('48', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '21.04', '6004', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('48', '10000', '2023-11-30 09:00:00', '2023-12-14 08:59:59', '50', '10.6', '6004', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('48', '10000', '2023-08-17 09:00:00', '2023-08-31 08:59:59', '50', '5.44', '6004', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('48', '10000', '2023-06-12 09:00:00', '2023-06-26 08:59:59', '50', '10.82', '6004', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('49', '10000', '2025-03-17 09:00:00', '2025-03-31 08:59:59', '50', '26.19', '1086', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('49', '10000', '2022-09-08 09:00:00', '2022-09-22 08:59:59', '50', '6.4', '1086', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('49', '10000', '2023-05-27 09:00:00', '2023-06-10 08:59:59', '50', '29.73', '1086', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('49', '10000', '2024-04-08 09:00:00', '2024-04-22 08:59:59', '50', '20.16', '1086', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('50', '10000', '2023-10-10 09:00:00', '2023-10-24 08:59:59', '50', '21.88', '7726', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('50', '10000', '2022-09-27 09:00:00', '2022-10-11 08:59:59', '50', '9.89', '7726', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('50', '10000', '2023-01-29 09:00:00', '2023-02-12 08:59:59', '50', '7.86', '7726', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('51', '10000', '2024-09-22 09:00:00', '2024-10-06 08:59:59', '50', '25.51', '758', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('51', '10000', '2022-09-06 09:00:00', '2022-09-20 08:59:59', '50', '0.25', '758', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('51', '10000', '2023-09-03 09:00:00', '2023-09-17 08:59:59', '50', '5.59', '758', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('52', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '9.59', '1464', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('52', '10000', '2023-06-09 09:00:00', '2023-06-23 08:59:59', '50', '6.56', '1464', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('52', '10000', '2022-08-27 09:00:00', '2022-09-10 08:59:59', '50', '15.03', '1464', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('53', '10000', '2024-06-06 09:00:00', '2024-06-20 08:59:59', '50', '5.55', '4684', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('53', '10000', '2022-06-14 09:00:00', '2022-06-28 08:59:59', '50', '27.47', '4684', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('53', '10000', '2022-10-26 09:00:00', '2022-11-09 08:59:59', '50', '27.57', '4684', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('53', '10000', '2023-06-23 09:00:00', '2023-07-07 08:59:59', '50', '6.67', '4684', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('54', '10000', '2024-05-11 09:00:00', '2024-05-25 08:59:59', '50', '20.64', '6597', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('54', '10000', '2023-11-20 09:00:00', '2023-12-04 08:59:59', '50', '25.73', '6597', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('54', '10000', '2023-09-20 09:00:00', '2023-10-04 08:59:59', '50', '16.14', '6597', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('55', '10000', '2024-05-08 09:00:00', '2024-05-22 08:59:59', '50', '20.87', '523', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('55', '10000', '2023-12-12 09:00:00', '2023-12-26 08:59:59', '50', '28.57', '523', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('55', '10000', '2022-07-28 09:00:00', '2022-08-11 08:59:59', '50', '26.77', '523', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('55', '10000', '2023-03-12 09:00:00', '2023-03-26 08:59:59', '50', '26.91', '523', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('56', '10000', '2024-05-14 09:00:00', '2024-05-28 08:59:59', '50', '27.25', '5994', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('56', '10000', '2024-02-05 09:00:00', '2024-02-19 08:59:59', '50', '26.45', '5994', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('56', '10000', '2024-04-15 09:00:00', '2024-04-29 08:59:59', '50', '24.59', '5994', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('56', '10000', '2024-04-06 09:00:00', '2024-04-20 08:59:59', '50', '17.83', '5994', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('57', '10000', '2024-05-12 09:00:00', '2024-05-26 08:59:59', '50', '0.51', '7107', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('57', '10000', '2023-03-20 09:00:00', '2023-04-03 08:59:59', '50', '24.24', '7107', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('57', '10000', '2022-10-18 09:00:00', '2022-11-01 08:59:59', '50', '22.22', '7107', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('58', '10000', '2024-05-07 09:00:00', '2024-05-21 08:59:59', '50', '18.47', '2444', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('58', '10000', '2022-11-17 09:00:00', '2022-12-01 08:59:59', '50', '14.01', '2444', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('58', '10000', '2022-11-05 09:00:00', '2022-11-19 08:59:59', '50', '10.59', '2444', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('59', '10000', '2024-11-26 09:00:00', '2024-12-10 08:59:59', '50', '18.39', '4778', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('59', '10000', '2022-06-10 09:00:00', '2022-06-24 08:59:59', '50', '4.41', '4778', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('60', '10000', '2025-04-30 09:00:00', '2025-05-14 08:59:59', '50', '27.61', '8120', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('60', '10000', '2022-08-01 09:00:00', '2022-08-15 08:59:59', '50', '3.84', '8120', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('60', '10000', '2023-01-11 09:00:00', '2023-01-25 08:59:59', '50', '23.61', '8120', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('61', '10000', '2024-05-13 09:00:00', '2024-05-27 08:59:59', '50', '0.85', '5438', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('61', '10000', '2023-05-08 09:00:00', '2023-05-22 08:59:59', '50', '29.02', '5438', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('62', '10000', '2024-05-12 09:00:00', '2024-05-26 08:59:59', '50', '27.91', '8218', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('62', '10000', '2023-05-07 09:00:00', '2023-05-21 08:59:59', '50', '15.76', '8218', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('62', '10000', '2023-06-07 09:00:00', '2023-06-21 08:59:59', '50', '13.27', '8218', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('63', '10000', '2024-09-09 09:00:00', '2024-09-23 08:59:59', '50', '17.33', '9994', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('63', '10000', '2023-02-24 09:00:00', '2023-03-10 08:59:59', '50', '17.48', '9994', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('64', '10000', '2024-05-11 09:00:00', '2024-05-25 08:59:59', '50', '24.16', '8071', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('64', '10000', '2023-01-05 09:00:00', '2023-01-19 08:59:59', '50', '20.29', '8071', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('64', '10000', '2023-01-06 09:00:00', '2023-01-20 08:59:59', '50', '28.9', '8071', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('64', '10000', '2024-02-03 09:00:00', '2024-02-17 08:59:59', '50', '4.53', '8071', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('65', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '16.18', '6294', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('65', '10000', '2024-03-04 09:00:00', '2024-03-18 08:59:59', '50', '19.47', '6294', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('66', '10000', '2022-07-18 09:00:00', '2022-08-01 08:59:59', '50', '20.85', '5069', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('66', '10000', '2022-07-18 09:00:00', '2022-08-01 08:59:59', '50', '9.41', '5069', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('67', '10000', '2024-01-28 09:00:00', '2024-02-11 08:59:59', '50', '1.72', '7763', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('67', '10000', '2024-01-15 09:00:00', '2024-01-29 08:59:59', '50', '7.2', '7763', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('68', '10000', '2024-05-13 09:00:00', '2024-05-27 08:59:59', '50', '8.77', '2457', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('68', '10000', '2022-11-14 09:00:00', '2022-11-28 08:59:59', '50', '19.39', '2457', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('68', '10000', '2022-10-30 09:00:00', '2022-11-13 08:59:59', '50', '11.0', '2457', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('68', '10000', '2024-04-09 09:00:00', '2024-04-23 08:59:59', '50', '18.92', '2457', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('69', '10000', '2025-05-03 09:00:00', '2025-05-17 08:59:59', '50', '8.83', '5945', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('69', '10000', '2023-01-22 09:00:00', '2023-02-05 08:59:59', '50', '29.87', '5945', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('69', '10000', '2024-04-22 09:00:00', '2024-05-06 08:59:59', '50', '9.45', '5945', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('70', '10000', '2024-07-09 09:00:00', '2024-07-23 08:59:59', '50', '10.75', '1595', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('70', '10000', '2024-01-04 09:00:00', '2024-01-18 08:59:59', '50', '10.93', '1595', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('70', '10000', '2023-03-20 09:00:00', '2023-04-03 08:59:59', '50', '5.16', '1595', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('71', '10000', '2024-09-06 09:00:00', '2024-09-20 08:59:59', '50', '13.07', '3160', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('71', '10000', '2023-01-02 09:00:00', '2023-01-16 08:59:59', '50', '7.0', '3160', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('72', '10000', '2024-05-08 09:00:00', '2024-05-22 08:59:59', '50', '20.78', '4809', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('72', '10000', '2023-09-22 09:00:00', '2023-10-06 08:59:59', '50', '8.5', '4809', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('72', '10000', '2023-01-17 09:00:00', '2023-01-31 08:59:59', '50', '8.19', '4809', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('72', '10000', '2022-10-14 09:00:00', '2022-10-28 08:59:59', '50', '0.54', '4809', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('73', '10000', '2023-05-13 09:00:00', '2023-05-27 08:59:59', '50', '7.89', '7426', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('73', '10000', '2023-07-24 09:00:00', '2023-08-07 08:59:59', '50', '2.51', '7426', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('73', '10000', '2024-03-29 09:00:00', '2024-04-12 08:59:59', '50', '3.42', '7426', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('74', '10000', '2023-07-12 09:00:00', '2023-07-26 08:59:59', '50', '24.66', '3520', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('75', '10000', '2022-11-25 09:00:00', '2022-12-09 08:59:59', '50', '16.1', '624', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('75', '10000', '2023-07-25 09:00:00', '2023-08-08 08:59:59', '50', '26.86', '624', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('75', '10000', '2023-03-13 09:00:00', '2023-03-27 08:59:59', '50', '15.62', '624', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('76', '10000', '2024-05-12 09:00:00', '2024-05-26 08:59:59', '50', '17.56', '6814', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('76', '10000', '2023-03-20 09:00:00', '2023-04-03 08:59:59', '50', '9.98', '6814', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('76', '10000', '2024-02-12 09:00:00', '2024-02-26 08:59:59', '50', '16.67', '6814', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('77', '10000', '2024-05-08 09:00:00', '2024-05-22 08:59:59', '50', '25.11', '3226', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('77', '10000', '2023-02-20 09:00:00', '2023-03-06 08:59:59', '50', '8.93', '3226', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('77', '10000', '2023-10-22 09:00:00', '2023-11-05 08:59:59', '50', '20.82', '3226', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('78', '10000', '2024-05-14 09:00:00', '2024-05-28 08:59:59', '50', '2.47', '5363', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('78', '10000', '2022-06-11 09:00:00', '2022-06-25 08:59:59', '50', '28.72', '5363', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('78', '10000', '2023-04-29 09:00:00', '2023-05-13 08:59:59', '50', '25.72', '5363', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('78', '10000', '2023-03-24 09:00:00', '2023-04-07 08:59:59', '50', '16.0', '5363', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('79', '10000', '2023-01-09 09:00:00', '2023-01-23 08:59:59', '50', '23.49', '965', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('80', '10000', '2023-09-01 09:00:00', '2023-09-15 08:59:59', '50', '2.2', '9351', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('81', '10000', '2024-08-07 09:00:00', '2024-08-21 08:59:59', '50', '0.36', '3620', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('81', '10000', '2024-01-05 09:00:00', '2024-01-19 08:59:59', '50', '29.69', '3620', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('81', '10000', '2023-11-27 09:00:00', '2023-12-11 08:59:59', '50', '1.68', '3620', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('82', '10000', '2024-12-04 09:00:00', '2024-12-18 08:59:59', '50', '12.64', '4185', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('82', '10000', '2023-10-16 09:00:00', '2023-10-30 08:59:59', '50', '15.65', '4185', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('83', '10000', '2024-08-04 09:00:00', '2024-08-18 08:59:59', '50', '29.39', '5484', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('83', '10000', '2022-08-09 09:00:00', '2022-08-23 08:59:59', '50', '10.06', '5484', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('83', '10000', '2022-10-08 09:00:00', '2022-10-22 08:59:59', '50', '13.1', '5484', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('83', '10000', '2023-01-11 09:00:00', '2023-01-25 08:59:59', '50', '23.42', '5484', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('84', '10000', '2025-04-02 09:00:00', '2025-04-16 08:59:59', '50', '15.51', '708', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('84', '10000', '2023-09-25 09:00:00', '2023-10-09 08:59:59', '50', '29.36', '708', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('84', '10000', '2024-01-26 09:00:00', '2024-02-09 08:59:59', '50', '28.51', '708', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('84', '10000', '2023-10-22 09:00:00', '2023-11-05 08:59:59', '50', '1.54', '708', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('85', '10000', '2025-04-23 09:00:00', '2025-05-07 08:59:59', '50', '0.92', '2737', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('85', '10000', '2023-09-24 09:00:00', '2023-10-08 08:59:59', '50', '14.63', '2737', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('86', '10000', '2024-05-13 09:00:00', '2024-05-27 08:59:59', '50', '27.51', '6894', '10');
